LCQI vs llama.cpp SmolLM2 Same Input Compare

timestamp_utc=2026-06-30T17:59:35.473756+00:00
repo_commit=unknown
working_tree_dirty=unknown
host=caw
uname=Linux caw 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 GNU/Linux
nproc=20
python=3.13.9
cache_dir=/home/aoweichen/.cache/lcqi-smollm2-small-smoke

model_source=bartowski/SmolLM2-135M-Instruct-GGUF
model_file=SmolLM2-135M-Instruct-Q4_K_M.gguf
model_path=/home/aoweichen/.cache/lcqi-smollm2-small-smoke/models/SmolLM2-135M-Instruct-Q4_K_M.gguf
model_expected_bytes=105454432
model_actual_bytes=105454432
model_expected_sha256=2e8040ceae7815abe0dcb3540b9995eaa1fa0d2ca9e797d0a635ae4433c68c2d
model_actual_sha256=2e8040ceae7815abe0dcb3540b9995eaa1fa0d2ca9e797d0a635ae4433c68c2d
model_identity_match=true
llama_cpp_expected_commit=b3fed31b99f9bd37725833674252bccb429bb183
llama_cpp_source_git_commit=unavailable
llama_cpp_source_commit_verified=false
llama_cpp_skip_build=true

user_prompt=Hello
max_new_tokens=16
expanded_chat_prompt=<|im_start|>system\nYou are a helpful AI assistant named SmolLM, trained by Hugging Face<|im_end|>\n<|im_start|>user\nHello<|im_end|>\n<|im_start|>assistant\n

scope=LCQI uses its internal SmolLM2 chat-prompt builder from the same user prompt. llama-simple receives the expanded chat prompt string directly. The same-input check is prompt-token-count equality plus matching visible generated suffix; llama-bench is reported separately as same-token-count synthetic throughput, not same text.

[summary:lcqi_q4_direct_off_same_input]
rounds=5
benchmark_load_ms_median=319.318000 benchmark_load_ms_min=291.782000 benchmark_load_ms_max=372.224000
benchmark_prefill_ms_median=31.809800 benchmark_prefill_ms_min=30.818900 benchmark_prefill_ms_max=35.705000
derived_prefill_ms_per_prompt_token_median=1.026123 derived_prefill_ms_per_prompt_token_min=0.994158 derived_prefill_ms_per_prompt_token_max=1.151774
derived_prefill_prompt_tokens_per_second_median=974.542437 derived_prefill_prompt_tokens_per_second_min=868.225739 derived_prefill_prompt_tokens_per_second_max=1005.876264
benchmark_decode_ms_median=62.713000 benchmark_decode_ms_min=62.297700 benchmark_decode_ms_max=68.231800
derived_decode_ms_per_step_median=6.968111 derived_decode_ms_per_step_min=6.921967 derived_decode_ms_per_step_max=7.581311
benchmark_decode_tokens_per_second_median=143.511000 benchmark_decode_tokens_per_second_min=131.903000 benchmark_decode_tokens_per_second_max=144.468000
benchmark_worker_count_median=8.000000 benchmark_worker_count_min=8.000000 benchmark_worker_count_max=8.000000
derived_f32_weight_inflation_ratio_median=5.190199 derived_f32_weight_inflation_ratio_min=5.190199 derived_f32_weight_inflation_ratio_max=5.190199
derived_direct_quantized_weight_byte_share_median=0.000000 derived_direct_quantized_weight_byte_share_min=0.000000 derived_direct_quantized_weight_byte_share_max=0.000000
benchmark_hotspot_rms_norm_ms_median=0.674733 benchmark_hotspot_rms_norm_ms_min=0.666922 benchmark_hotspot_rms_norm_ms_max=0.754430
benchmark_hotspot_attention_ms_median=5.886110 benchmark_hotspot_attention_ms_min=5.550330 benchmark_hotspot_attention_ms_max=6.320800
benchmark_hotspot_rope_ms_median=3.859690 benchmark_hotspot_rope_ms_min=3.650370 benchmark_hotspot_rope_ms_max=4.093790
benchmark_hotspot_wq_ms_median=5.909490 benchmark_hotspot_wq_ms_min=5.887800 benchmark_hotspot_wq_ms_max=6.525740
benchmark_hotspot_wk_ms_median=6.687990 benchmark_hotspot_wk_ms_min=6.631180 benchmark_hotspot_wk_ms_max=7.207840
benchmark_hotspot_wv_ms_median=6.725650 benchmark_hotspot_wv_ms_min=6.483600 benchmark_hotspot_wv_ms_max=7.204630
benchmark_hotspot_wo_ms_median=6.331270 benchmark_hotspot_wo_ms_min=6.111740 benchmark_hotspot_wo_ms_max=7.023030
benchmark_hotspot_w_gate_ms_median=14.832900 benchmark_hotspot_w_gate_ms_min=14.420900 benchmark_hotspot_w_gate_ms_max=16.296200
benchmark_hotspot_w_up_ms_median=14.733700 benchmark_hotspot_w_up_ms_min=14.450000 benchmark_hotspot_w_up_ms_max=16.244300
benchmark_hotspot_w_down_ms_median=13.626600 benchmark_hotspot_w_down_ms_min=13.511700 benchmark_hotspot_w_down_ms_max=15.221900
benchmark_hotspot_lm_head_ms_median=12.219700 benchmark_hotspot_lm_head_ms_min=11.997900 benchmark_hotspot_lm_head_ms_max=13.140200
benchmark_hotspot_q4_k_direct_ms_median=0.000000 benchmark_hotspot_q4_k_direct_ms_min=0.000000 benchmark_hotspot_q4_k_direct_ms_max=0.000000
benchmark_hotspot_ggml_direct_ms_median=0.000000 benchmark_hotspot_ggml_direct_ms_min=0.000000 benchmark_hotspot_ggml_direct_ms_max=0.000000
benchmark_hotspot_f32_fallback_ms_median=68.660400 benchmark_hotspot_f32_fallback_ms_min=67.697700 benchmark_hotspot_f32_fallback_ms_max=75.357600
benchmark_hotspot_q4_k_direct_calls_median=0.000000 benchmark_hotspot_q4_k_direct_calls_min=0.000000 benchmark_hotspot_q4_k_direct_calls_max=0.000000
benchmark_hotspot_ggml_direct_calls_median=0.000000 benchmark_hotspot_ggml_direct_calls_min=0.000000 benchmark_hotspot_ggml_direct_calls_max=0.000000
benchmark_hotspot_f32_fallback_calls_median=2100.000000 benchmark_hotspot_f32_fallback_calls_min=2100.000000 benchmark_hotspot_f32_fallback_calls_max=2100.000000
benchmark_q4_k_direct_tensors_median=0.000000 benchmark_q4_k_direct_tensors_min=0.000000 benchmark_q4_k_direct_tensors_max=0.000000
benchmark_ggml_direct_tensors_median=0.000000 benchmark_ggml_direct_tensors_min=0.000000 benchmark_ggml_direct_tensors_max=0.000000
